iter	Passed	Remaining
409	3107	4850
410	3114	4842
411	3121	4833
412	3128	4824
413	3134	4816
414	3141	4806
415	3148	4797
416	3154	4789
417	3161	4780
418	3168	4772
419	3175	4763
420	3182	4754
421	3188	4745
422	3195	4736
423	3203	4729
424	3209	4720
425	3217	4713
426	3224	4704
427	3231	4696
428	3237	4687
429	3244	4677
430	3251	4669
431	3257	4660
432	3264	4651
433	3271	4643
434	3277	4633
435	3284	4625
436	3291	4616
437	3297	4607
438	3304	4598
439	3310	4589
440	3316	4580
441	3323	4571
442	3329	4562
443	3336	4553
444	3342	4544
445	3349	4535
446	3355	4527
447	3363	4519
448	3369	4510
449	3376	4502
450	3382	4493
451	3389	4484
452	3395	4475
453	3402	4466
454	3410	4459
455	3422	4458
456	3432	4453
457	3438	4445
458	3446	4437
459	3452	4428
460	3458	4419
461	3466	4411
462	3472	4402
463	3479	4393
464	3485	4385
465	3494	4379
466	3503	4373
467	3511	4366
468	3517	4357
469	3524	4349
470	3530	4340
471	3537	4332
472	3544	4323
473	3550	4314
474	3557	4305
475	3563	4297
476	3571	4290
477	3582	4286
478	3588	4278
479	3595	4269
480	3601	4260
481	3608	4252
482	3616	4244
483	3622	4236
484	3628	4227
485	3635	4218
486	3641	4210
487	3648	4201
488	3654	4192
489	3661	4184
490	3667	4175
491	3674	4167
492	3685	4163
493	3699	4163
494	3710	4160
495	3719	4154
496	3735	4155
497	3749	4156
498	3764	4156
499	3778	4156
500	3793	4157
501	3807	4156
502	3922	4266
503	3970	4301
504	4019	4337
505	4038	4341
506	4062	4351
507	4074	4346
508	4100	4358
509	4112	4354
510	4138	4365
511	4152	4362
512	4164	4359
513	4187	4366
514	4209	4373
515	4227	4374
516	4240	4372
517	4253	4368
518	4264	4363
519	4274	4356
520	4283	4349
521	4296	4345
522	4315	4348
523	4325	4342
524	4335	4335
525	4346	4330
526	4356	4323
527	4363	4314
528	4370	4304
529	4377	4295
530	4384	4285
531	4390	4275
532	4398	4266
533	4405	4256
534	4412	4247
535	4418	4237
536	4425	4227
537	4432	4218
538	4462	4230
539	4467	4219
540	4473	4208
541	4479	4198
542	4487	4190
543	4494	4180
544	4500	4170
545	4511	4164
546	4518	4155
547	4525	4145
548	4532	4136
549	4541	4128
550	4548	4119
551	4556	4110
552	4563	4101
553	4571	4093
554	4578	4083
555	4586	4074
556	4593	4065
557	4601	4057
558	4611	4050
559	4622	4044
560	4628	4034
561	4636	4026
562	4643	4016
563	4651	4007
564	4658	3998
565	4665	3989
566	4672	3980
567	4679	3970
568	4686	3961
569	4693	3952
570	4709	3950
571	4715	3940
572	4722	3930
573	4728	3921
574	4736	3912
575	4742	3903
576	4749	3893
577	4760	3887
578	4770	3880
579	4777	3871
580	4786	3863
581	4793	3854
582	4801	3845
583	4807	3836
584	4815	3827
585	4821	3817
586	4828	3808
587	4835	3799
588	4842	3789
589	4850	3781
590	4856	3771
591	4863	3762
592	4869	3753
593	4876	3743
594	4883	3734
595	4889	3724
596	4898	3717
597	4905	3707
598	4911	3698
599	4918	3688
600	4924	3679
601	4931	3670
602	4937	3660
603	4944	3650
604	4951	3641
605	4957	3632
606	4964	3622
607	4970	3613
608	4976	3603
609	4983	3594
610	4990	3585
611	4996	3576
612	5004	3567
613	5010	3558
614	5016	3548
615	5023	3539
616	5029	3529
617	5036	3520
618	5042	3511
619	5049	3501
620	5055	3492
621	5062	3483
622	5069	3474
623	5076	3465
624	5084	3457
625	5090	3448
626	5097	3438
627	5103	3429
628	5111	3420
629	5118	3412
630	5130	3406
631	5141	3400
632	5150	3392
633	5159	3385
634	5170	3378
635	5182	3373
636	5201	3372
637	5211	3365
638	5224	3360
639	5235	3353
640	5246	3347
641	5259	3342
642	5273	3337
643	5286	3332
644	5300	3328
645	5313	3322
646	5319	3313
647	5327	3305
648	5334	3296
649	5341	3287
650	5350	3279
651	5360	3272
652	5367	3263
653	5373	3253
654	5380	3244
655	5386	3235
656	5398	3229
657	5410	3223
658	5416	3213
659	5423	3204
660	5430	3196
661	5437	3187
662	5446	3179
663	5455	3171
664	5462	3162
665	5469	3153
666	5476	3144
667	5483	3135
668	5491	3127
669	5497	3118
670	5504	3109
671	5511	3100
672	5518	3091
673	5525	3082
674	5531	3073
675	5538	3064
676	5545	3055
677	5551	3045
678	5558	3036
679	5565	3028
680	5572	3019
681	5579	3010
682	5585	3001
683	5592	2992
684	5599	2983
685	5607	2975
686	5618	2968
687	5624	2959
688	5631	2950
689	5638	2941
690	5645	2932
691	5651	2923
692	5658	2914
693	5667	2907
694	5674	2898
695	5683	2890
696	5691	2882
697	5698	2873
698	5707	2865
699	5714	2857
700	5727	2851
701	5738	2844
702	5745	2835
703	5752	2827
704	5759	2818
705	5766	2809
706	5774	2801
707	5785	2794
708	5804	2791
709	5811	2782
710	5819	2774
711	5826	2765
712	5834	2757
713	5841	2748
714	5848	2740
715	5856	2731
716	5863	2723
717	5870	2714
718	5877	2705
719	5885	2697
720	5891	2688
721	5898	2679
722	5904	2670
723	5910	2661
724	5917	2652
725	5924	2643
726	5931	2635
727	5937	2626
728	5944	2617
729	5952	2609
730	5958	2600
731	5965	2591
732	5971	2582
733	5977	2573
734	5984	2564
735	5991	2556
736	5998	2547
737	6004	2538
738	6011	2529
739	6017	2520
740	6023	2511
741	6030	2503
742	6037	2494
743	6043	2485
744	6050	2476
745	6058	2468
746	6066	2460
747	6073	2451
748	6079	2443
749	6087	2434
750	6094	2426
751	6101	2417
752	6107	2409
753	6115	2400
754	6122	2392
755	6129	2383
756	6135	2374
757	6142	2366
758	6149	2357
759	6156	2349
760	6164	2341
761	6171	2332
762	6178	2324
763	6185	2315
764	6193	2307
765	6200	2298
766	6207	2290
767	6215	2282
768	6221	2273
769	6228	2264
770	6235	2256
771	6242	2247
772	6249	2239
773	6256	2230
774	6268	2224
775	6277	2216
776	6294	2211
777	6301	2203
778	6308	2194
779	6315	2186
780	6323	2177
781	6330	2169
782	6337	2161
783	6345	2153
784	6352	2144
785	6360	2136
786	6367	2127
787	6375	2119
788	6382	2111
789	6389	2102
790	6396	2094
791	6408	2087
792	6420	2080
793	6429	2072
794	6437	2064
795	6446	2056
796	6454	2048
797	6461	2040
798	6468	2032
799	6476	2023
800	6482	2015
801	6491	2007
802	6497	1998
803	6504	1990
804	6510	1981
805	6517	1972
806	6524	1964
807	6531	1956
808	6537	1947
809	6544	1939
810	6551	1930
811	6557	1922
812	6564	1913
813	6570	1905
814	6577	1896
815	6584	1888
816	6590	1879
817	6597	1871
818	6603	1862
819	6610	1854
820	6617	1845
821	6624	1837
822	6632	1829
823	6639	1821
824	6645	1812
825	6652	1804
826	6658	1795
827	6665	1787
828	6671	1778
829	6678	1770
830	6684	1761
831	6695	1754
832	6708	1747
833	6722	1741
834	6732	1733
835	6741	1725
836	6752	1718
837	6762	1710
838	6773	1703
839	6782	1695
840	6792	1688
841	6802	1680
842	6812	1672
843	6824	1665
844	6836	1658
845	6851	1652
846	6865	1645
847	6880	1638
848	6893	1631
849	6900	1623
850	6906	1615
851	6913	1606
852	6924	1599
853	6931	1590
854	6938	1582
855	6945	1574
856	6951	1565
857	6957	1557
858	6964	1548
859	6970	1540
860	6978	1531
861	6986	1523
862	6993	1515
863	6999	1506
864	7006	1498
865	7013	1490
866	7019	1481
867	7026	1473
868	7033	1464
869	7039	1456
870	7046	1448
871	7053	1439
872	7059	1431
873	7066	1422
874	7073	1414
875	7079	1406
876	7086	1397
877	7093	1389
878	7099	1381
879	7105	1372
880	7112	1364
881	7119	1356
882	7125	1347
883	7132	1339
884	7138	1330
885	7144	1322
886	7151	1314
887	7158	1305
888	7164	1297
889	7171	1289
890	7178	1280
891	7185	1272
892	7191	1264
893	7198	1256
894	7204	1247
895	7211	1239
896	7217	1231
897	7224	1222
898	7231	1214
899	7238	1206
900	7245	1198
901	7252	1189
902	7259	1181
903	7266	1173
904	7273	1165
905	7280	1157
906	7287	1149
907	7310	1143
908	7317	1135
909	7326	1127
910	7333	1118
911	7339	1110
912	7345	1102
913	7351	1093
914	7356	1085
915	7363	1077
916	7370	1068
917	7376	1060
918	7382	1052
919	7389	1044
920	7396	1036
921	7403	1027
922	7411	1019
923	7419	1011
924	7427	1003
925	7437	995
926	7444	987
927	7451	979
928	7458	971
929	7465	963
930	7472	955
931	7479	946
932	7486	938
933	7494	930
934	7501	922
935	7507	914
936	7515	906
937	7522	898
938	7529	890
939	7536	881
940	7544	873
941	7551	865
942	7559	857
943	7566	849
944	7573	841
945	7585	833
946	7595	826
947	7604	818
948	7612	810
949	7619	802
950	7627	794
951	7634	785
952	7643	777
953	7650	769
954	7657	761
955	7664	753
956	7671	745
957	7678	737
958	7684	729
959	7692	721
960	7698	712
961	7705	704
962	7712	696
963	7718	688
964	7725	680
965	7732	672
966	7738	664
967	7745	656
968	7751	647
969	7758	639
970	7764	631
971	7771	623
972	7778	615
973	7785	607
974	7794	599
975	7800	591
976	7807	583
977	7814	575
978	7821	567
979	7828	559
980	7835	551
981	7842	543
982	7849	534
983	7855	526
984	7862	518
985	7870	510
986	7877	502
987	7884	494
988	7890	486
989	7898	478
990	7906	470
991	7914	462
992	7922	454
993	7931	446
994	7939	438
995	7946	430
996	7953	422
997	7960	414
998	7967	406
999	7974	398
1000	7981	390
1001	7989	382
1002	7995	374
1003	8003	366
1004	8009	358
1005	8016	350
1006	8023	342
1007	8029	334
1008	8036	326
1009	8042	318
1010	8049	310
1011	8056	302
1012	8062	294
1013	8069	286
1014	8076	278
1015	8082	270
1016	8089	262
1017	8096	254
1018	8102	246
1019	8109	238
1020	8117	230
1021	8125	222
1022	8131	214
1023	8138	206
1024	8144	198
1025	8151	190
1026	8158	182
1027	8165	174
1028	8172	166
1029	8179	158
1030	8186	150
1031	8196	142
1032	8223	135
1033	8241	127
1034	8254	119
1035	8266	111
1036	8275	103
1037	8282	95
1038	8289	87
1039	8296	79
1040	8303	71
1041	8310	63
1042	8316	55
1043	8323	47
1044	8330	39
1045	8337	31
1046	8344	23
1047	8351	15
1048	8358	7
1049	8365	0
