iter	Logloss
0	0.6928336563
1	0.6924902419
2	0.6921226664
3	0.691759816
4	0.6914418171
5	0.6910886579
6	0.6907447553
7	0.6904468649
8	0.6901328409
9	0.6897724955
10	0.6894568515
11	0.6891291434
12	0.6887855963
13	0.6884785444
14	0.68815909
15	0.6878104562
16	0.6874927565
17	0.6871734667
18	0.6868402261
19	0.6865384136
20	0.6862433562
21	0.6859405399
22	0.6856011664
23	0.6852796533
24	0.6849684607
25	0.684653816
26	0.6843222679
27	0.6840173601
28	0.6837344954
29	0.6834855264
30	0.6831699598
31	0.6828856596
32	0.6825796106
33	0.6822758455
34	0.6819766884
35	0.6816688445
36	0.6813790178
37	0.6810749187
38	0.6807890874
39	0.6805085562
40	0.6802347307
41	0.6799538209
42	0.6796769782
43	0.6794061814
44	0.6791406895
45	0.6788636778
46	0.6786029817
47	0.6783350156
48	0.6780705891
49	0.6777979488
50	0.6775326866
51	0.677268866
52	0.676996212
53	0.6767507745
54	0.6764756236
55	0.6762281136
56	0.6759534272
57	0.6756827781
58	0.6754195696
59	0.6751767501
60	0.6749350357
61	0.6746629932
62	0.6744127195
63	0.6741693923
64	0.6739028603
65	0.6736353981
66	0.6733703946
67	0.6730869509
68	0.6728531114
69	0.6726217034
70	0.6723773748
71	0.6721354098
72	0.6719025482
73	0.6716537544
74	0.6714160243
75	0.671182312
76	0.6709367924
77	0.6706834086
78	0.6704369501
79	0.6701937358
80	0.6699678856
81	0.6697364443
82	0.669530779
83	0.669287456
84	0.669081407
85	0.6688660465
86	0.6686592616
87	0.6684267793
88	0.6681752577
89	0.6679381193
90	0.6677122483
91	0.6674635497
92	0.6672511755
93	0.6670296171
94	0.6668079282
95	0.6665722238
96	0.6663427706
97	0.6661099918
98	0.6658750418
99	0.6656810345
100	0.6654528521
101	0.6652400268
102	0.665047714
103	0.6648427738
104	0.6646273024
105	0.6644419438
106	0.6642231894
107	0.6640210164
108	0.6638062925
109	0.6635947127
110	0.6633873959
111	0.6631682515
112	0.6629674226
113	0.6627746844
114	0.6625782875
115	0.6623679921
116	0.6621769322
117	0.6619773482
118	0.661767162
119	0.6615496301
120	0.6613366358
121	0.6611371564
122	0.6609511147
123	0.6607505718
124	0.6605615208
125	0.6603746677
126	0.6601827813
127	0.6599841025
128	0.6597882116
129	0.6596000082
130	0.6594194722
131	0.6592250395
132	0.6590267525
133	0.6587979296
134	0.6585932877
135	0.6584077847
136	0.6582236709
137	0.6580375794
138	0.657865039
139	0.6576774694
140	0.6574985941
141	0.6573171479
142	0.6571542344
143	0.6569856657
144	0.6568000833
145	0.6566189901
146	0.656442982
147	0.6562791415
148	0.6561097502
149	0.6559278105
150	0.6557501011
151	0.6555627667
152	0.6553998345
153	0.6552341681
154	0.6550455824
155	0.6548845681
156	0.6547099436
157	0.6545481997
158	0.6543666568
159	0.6541919281
160	0.6540284508
161	0.6538537883
162	0.6536908194
163	0.6535163105
164	0.6533440032
165	0.6531721035
166	0.6530016955
167	0.6528274378
168	0.6526788592
169	0.6525173652
170	0.6523429875
171	0.6521927598
172	0.6520365472
173	0.6518887014
174	0.6517259374
175	0.6515724342
176	0.6514179759
177	0.6512496611
178	0.6511106349
179	0.6509386897
180	0.6507721761
181	0.6506155714
182	0.6504615543
183	0.6502997291
184	0.6501513517
185	0.6499861838
186	0.6498185248
187	0.6496805039
188	0.6495316411
189	0.6494041672
190	0.6492603809
191	0.6491042862
192	0.6489516019
193	0.6488015364
194	0.6486548058
195	0.6485211306
196	0.6484054752
197	0.6482499147
198	0.6480984234
199	0.6479467861
200	0.6478005212
201	0.6476521819
202	0.6475044396
203	0.6473676145
204	0.6472255393
205	0.6470857235
206	0.6469603356
207	0.6468240413
208	0.6466700127
209	0.6465357355
210	0.6463860473
211	0.6462628548
212	0.6461315386
213	0.6460032299
214	0.6458739498
215	0.6457324835
216	0.6456183131
217	0.6454925031
218	0.6453718133
219	0.6452552082
220	0.6451149356
221	0.6449840465
222	0.6448378834
223	0.6447079876
224	0.6445928714
225	0.6444676887
226	0.6443346829
227	0.6441921849
228	0.6440695428
229	0.6439433366
230	0.6438083944
231	0.6436971193
232	0.6435722662
233	0.6434618552
234	0.6433524847
235	0.643218125
236	0.6431166318
237	0.6429987278
238	0.6428780143
239	0.6427398505
240	0.6426311524
241	0.6425094541
242	0.6423834238
243	0.6422766649
244	0.6421559304
245	0.642048517
246	0.641938557
247	0.6418134569
248	0.641700074
249	0.6415721725
250	0.6414549185
251	0.6413358128
252	0.6412191132
253	0.6411061555
254	0.6409995214
255	0.6408957401
256	0.6407973374
257	0.6406867309
258	0.6405784584
259	0.6404788162
260	0.6403696559
261	0.6402456633
262	0.6401266716
263	0.6400070625
264	0.6398956148
265	0.639781179
266	0.6396727165
267	0.639565893
268	0.6394646246
269	0.6393707145
270	0.6392696921
271	0.6391598519
272	0.6390665203
273	0.6389612414
274	0.6388382273
275	0.6387395744
276	0.6386336468
277	0.6385243042
278	0.6384081139
279	0.6383085218
280	0.6381988117
281	0.6380907393
282	0.6379799725
283	0.637874658
284	0.6377804373
285	0.6376887024
286	0.637599654
287	0.637488909
288	0.6373821635
289	0.6372884839
290	0.6371939141
291	0.637087331
292	0.6369903637
293	0.63690121
294	0.6368034629
295	0.6367070425
296	0.6366220016
297	0.6365071085
298	0.6364315489
299	0.6363439167
300	0.6362521852
301	0.6361657532
302	0.6360576703
303	0.635963538
304	0.6358665457
305	0.6357658676
306	0.6356943277
307	0.6356086347
308	0.635499526
309	0.6354131957
310	0.6353167373
311	0.6352249559
312	0.6351284948
313	0.6350458124
314	0.6349632873
315	0.6348722568
316	0.6347869388
317	0.6346949182
318	0.6346009498
319	0.6345118689
320	0.6344164823
321	0.6343267429
322	0.6342350962
323	0.6341485173
324	0.6340588562
325	0.6339617788
326	0.6338709449
327	0.6337827061
328	0.6336901358
329	0.633604733
330	0.6335253541
331	0.6334362669
332	0.6333580055
333	0.6332621287
334	0.6331782431
335	0.6330911468
336	0.6330119521
337	0.6329203307
338	0.6328404301
339	0.6327566682
340	0.6326851415
341	0.6326024309
342	0.6325132402
343	0.6324198202
344	0.6323275112
345	0.6322490947
346	0.6321830609
347	0.632099092
348	0.6320275558
349	0.6319486359
350	0.631865751
351	0.6317796927
352	0.6317014617
353	0.6316277707
354	0.6315405265
355	0.6314711608
356	0.6314008805
357	0.6313209927
358	0.6312373754
359	0.6311512884
360	0.6310675624
361	0.6310024061
362	0.6309231902
363	0.6308416614
364	0.6307756784
365	0.6306961972
366	0.6306148502
367	0.6305477897
368	0.6304625939
369	0.6303878439
370	0.6303167321
371	0.6302382049
372	0.630172327
373	0.6301113756
374	0.630026758
375	0.6299698537
376	0.6298890817
377	0.6298153842
378	0.6297391509
379	0.6296599117
380	0.6295820721
381	0.629514888
382	0.6294420447
383	0.6293757028
384	0.6293097497
385	0.6292474248
386	0.6291878364
387	0.629123962
388	0.6290429924
389	0.6289740306
390	0.6288961154
391	0.6288338761
392	0.6287568108
393	0.6286893834
394	0.6286164716
395	0.6285501769
396	0.628473819
397	0.6284262894
398	0.6283639964
399	0.6282930658
400	0.6282337999
401	0.6281872387
402	0.62812414
403	0.6280642523
404	0.6279988713
405	0.6279317044
406	0.6278643775
407	0.6277985152
408	0.6277325824
409	0.6276598345
410	0.6276110118
411	0.627545105
412	0.6274896585
413	0.6274150525
414	0.6273481219
415	0.6272842448
416	0.6272172092
417	0.6271588128
418	0.6270887301
419	0.6270361552
420	0.6269814893
421	0.6269186447
422	0.6268568183
423	0.6268153866
424	0.6267565005
425	0.6267002299
426	0.6266323949
427	0.6265963477
428	0.6265407729
429	0.6264785923
430	0.6264123119
431	0.6263630151
432	0.6262989927
433	0.6262383284
434	0.6261742143
435	0.6261256169
436	0.6260757114
437	0.6260138217
438	0.6259512826
439	0.6259088562
440	0.6258441897
441	0.6257729164
442	0.6257261031
443	0.6256594412
444	0.625594521
445	0.6255307978
446	0.6254697391
447	0.6254078645
448	0.6253567339
449	0.625313745
450	0.6252591878
451	0.6251958788
452	0.6251381717
453	0.6250908621
